movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
3-Iron,2004,R,423866,88,"Crime, Drama, Romance",72.0,8.0,50787,0.24
Stalker,1979,Not Rated,79944,162,"Drama, Sci-Fi",,8.2,117713,0.23
Fireworks,1997,--,119250,103,"Crime, Drama, Romance",,7.8,27838,0.23
The Shop Around the Corner,1940,Not Rated,33045,99,"Comedy, Drama, Romance",96.0,8.1,28581,0.20
The Discreet Charm of the Bourgeoisie,1972,PG,68361,102,Comedy,93.0,7.9,38922,0.20
Fantastic Planet,1973,PG,70544,72,"Animation, Sci-Fi",73.0,7.8,25543,0.19
This Is Spinal Tap,1984,R,88258,82,"Comedy, Music",92.0,7.9,129162,0.19
Lilya 4-Ever,2002,R,300140,109,"Crime, Drama",82.0,7.8,42800,0.18
The Mirror,1975,G,72443,107,"Biography, Drama",80.0,8.1,40388,0.18
The Broken Circle Breakdown,2012,Not Rated,2024519,111,"Drama, Music, Romance",70.0,7.7,39473,0.18
La Grande Illusion,1937,Not Rated,28950,113,"Drama, War",,8.1,33930,0.17
Underground,1995,Not Rated,114787,167,"Comedy, Drama, Fantasy",,8.1,55352,0.17
Infernal Affairs,2002,R,338564,101,"Action, Crime, Drama",75.0,8.0,118062,0.17
Vicky Donor,2012,Not Rated,2317337,126,"Comedy, Romance",,7.8,39800,0.17
Winter Sleep,2014,Not Rated,2758880,196,Drama,88.0,8.1,46852,0.17
Modern Times,1936,G,27977,87,"Comedy, Drama, Family",96.0,8.5,218953,0.16
Vampire Hunter D: Bloodlust,2000,R,216651,103,"Animation, Action, Fantasy",62.0,7.7,29288,0.15
Tangerines,2013,Not Rated,2991224,87,"Drama, War",73.0,8.2,40862,0.14
The Experiment,2001,R,250258,120,"Drama, Thriller",60.0,7.7,90952,0.14
Once Upon a Time in Anatolia,2011,Not Rated,1827487,157,"Crime, Drama",82.0,7.9,42268,0.14
Tokyo Godfathers,2003,PG-13,388473,92,"Animation, Adventure, Comedy",73.0,7.8,31874,0.13
I Saw the Devil,2010,Not Rated,1588170,144,"Action, Crime, Drama",67.0,7.8,111925,0.13
Darbareye Elly,2009,TV-PG,1360860,119,"Drama, Mystery",87.0,8.0,46193,0.11
Andrei Rublev,1966,R,60107,205,"Biography, Drama, History",,8.1,47324,0.10
Elite Squad 2: The Enemy Within,2010,Not Rated,1555149,115,"Action, Crime, Drama",71.0,8.0,79359,0.10
Rashômon,1950,Not Rated,42876,88,"Crime, Drama, Mystery",98.0,8.2,153313,0.10
Night of the Living Dead,1968,Not Rated,63350,96,"Horror, Thriller",89.0,7.9,116897,0.09
Hiroshima Mon Amour,1959,Not Rated,52893,90,"Drama, Romance",,7.9,28555,0.09
The Best Offer,2013,R,1924396,131,"Crime, Drama, Mystery",49.0,7.8,108904,0.09
Peeping Tom,1960,Not Rated,54167,101,"Drama, Horror, Thriller",,7.7,31469,0.08
Beasts of No Nation,2015,Not Rated,1365050,137,"Drama, War",79.0,7.7,74306,0.08
